#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163505.787;20180524-163427.922;33.647084;-117.842162;34;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163506.249;20180524-163427.922;33.647084;-117.842162;34;313.5;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163506.749;20180524-163427.922;33.647084;-117.842162;34;349.1;349.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163507.254;20180524-163427.922;33.647084;-117.842162;34;308.9;308.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163507.757;20180524-163427.922;33.647084;-117.842162;34;336.6;336.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163508.256;20180524-163427.922;33.647084;-117.842162;34;288.9;288.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163508.757;20180524-163427.922;33.647084;-117.842162;34;325.7;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163509.258;20180524-163427.922;33.647084;-117.842162;34;309.8;309.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163509.760;20180524-163427.922;33.647084;-117.842162;34;328.4;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163510.256;20180524-163510.533;33.647084;-117.842162;4;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163510.761;20180524-163510.533;33.647084;-117.842162;4;331;331;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;TRUE;TRUE;unity;DeviceLocationProvider;20180524-163511.259;20180524-163512.000;33.647084;-117.842162;4;344.2;344.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
TRUE;FALSE;FALSE;TRUE;unity;DeviceLocationProvider;20180524-163511.761;20180524-163512.000;33.647084;-117.842162;4;317.6;317.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
